,hotel_name,price_week_before
438,New Unico San Cosimato,"€ 1,380"
439,Grand Tour Rome Suites - Liberty Collection,"€ 2,115"
440,"Sina Bernini Bristol, Autograph Collection","€ 4,169"
441,Karina Suite,"€ 1,189"
442,Unica Suites Rome,"€ 1,730"
443,Ripetta Executive Suites,"€ 2,224"
444,Caroline Suite,€ 932
445,NAMAN HOTELLERIE - Spagna,"€ 2,385"
446,Home Holiday Rome - 2° Floor,€ 954
447,Magenta Collection Navona,"€ 1,294"
448,Stunning St.Peter's Apartment,"€ 1,118"
449,Hotel Genio,"€ 1,608"
450,MILLINA SUITES IN NAVONA,"€ 1,473"
451,Elegantia Luxury Rooms,"€ 2,698"
452,Sophie's Choice 2 a San Pietro,"€ 1,087"
453,Guest House Navona 2,€ 958
454,48 Fourty Eight Luxury Suites,"€ 2,230"
455,Trastevere Royal Suite Trilussa,"€ 1,425"
456,Del Falco Boutique Rooms San Pietro,"€ 1,255"
457,Domus Domas,"€ 1,596"
458,Vatican Charme,"€ 1,272"
459,DormiRoma - Cedro 21 Apartments,"€ 1,084"
460,Youroom - Coppelle,"€ 1,702"
461,Affreschi Su Roma Luxury B&B,"€ 1,957"
462,G55 Design Hotel,"€ 1,668"
463,Affittacamere Sette A,€ 897
464,Hotel Barberini,"€ 1,957"
465,Glamour Center Of Rome B&B,"€ 1,026"
466,Seven,"€ 1,773"
467,V-Accommodation IV Fontane,"€ 2,563"
468,19 Vatican Suites,€ 898
469,Impero Vaticano San Pietro,"€ 1,346"
470,Hotel Scott House,"€ 1,079"
471,Orange Suites,"€ 1,786"
472,Navona Stay,"€ 1,640"
473,Giuturna Boutique Hotel,"€ 1,876"
474,Il Giardino di Proserpina,€ 991
475,Atlantis Inn Roma,"€ 1,433"
476,Domus Lucilla,€ 811
477,Ripetta Deluxe Suites,"€ 2,224"
478,Chester Suites,"€ 1,230"
479,Opera Italian Suite,€ 847
480,Hotel 4 Coronati,€ 794
481,Attico con terrazza @ Pantheon,"€ 2,096"
482,Casa Fabbrini Fancy Suites,"€ 2,090"
483,Petra Apartments,"€ 2,696"
484,I Fiumi Di Navona,"€ 1,339"
485,"amoRaRoma, economy guest house with shared bathrooms",€ 811
486,Casa Modelli,"€ 3,252"
487,Vibe Nazionale,"€ 1,753"
488,ANNIA HOUSE,"€ 1,622"
489,Growel Exclusive Suites San Pietro,"€ 2,893"
490,Virgilio Suite,"€ 1,025"
491,A&F Colosseo,"€ 1,072"
492,La Casa degli Osti 2 - Piazza Navona,"€ 1,227"
493,Excellence Suite,"€ 1,315"
494,Hotel Roma Vaticano,"€ 1,652"
495,LUX Suites in Roma,"€ 1,608"
496,Glam Luxury Rome,"€ 1,707"
497,I Mulini A Vento,"€ 1,234"
498,UNAWAY Hotel Empire Roma,"€ 1,847"
499,Hotel San Remo,€ 943
500,Impero Vaticano San Pietro,"€ 1,346"
501,Hotel Scott House,"€ 1,079"
502,Orange Suites,"€ 1,786"
503,Navona Stay,"€ 1,640"
504,Giuturna Boutique Hotel,"€ 1,876"
505,Il Giardino di Proserpina,€ 991
506,Atlantis Inn Roma,"€ 1,433"
507,Domus Lucilla,€ 811
508,Ripetta Deluxe Suites,"€ 2,224"
