,hotel_name,rating,room_description,price,location_descirption,long_description
20,Pigneto Square Home,6.7,"Double Room
1 large double bed
Free cancellation
Only 1 room left at this price on our site",€ 545,"Prenestino Labicano, RomeShow on map3.4 km from centreMetro access","Set less than 1 km from Porta Maggiore, a 16-minute walk from San Giovanni Metro Station and 1.6 km from Ponte Lungo Metro Station, Pigneto Square Home offers accommodation situated in Rome. The property is around 2 km from Vittorio Emanuele Metro Station, 2.7 km from Sapienza University of Rome and 3.2 km from Santa Maria Maggiore. Rome Termini Train Station is 3.4 km away and Rome Termini Metro Station is 3.6 km from the guest house.

Some accommodation includes a terrace and a seating area with flat-screen TV, as well as air conditioning. At the guest house, the units have a private bathroom with a hair dryer and free toiletries.

Domus Aurea is 3.8 km from the guest house, while Tiburtina Metro Station is 4.7 km away. The nearest airport is Rome Ciampino, 12 km from Pigneto Square Home, and the property offers a paid airport shuttle service."
21,Aenea's B&B,7.7,"Standard Double Room
1 double bed
Breakfast included
Free cancellation
Only 1 room left at this price on our site",€ 725,"Central Station, RomeShow on map1.8 km from centreMetro access","Aenea's B&B is 500 metres from both Vittorio Emanuele and Rome's Termini Central Station, and offers air-conditioned rooms. A TV is found in each room.

Aenea's B&B classically furnished rooms all have a private bathroom with hairdryer and free toiletries. Some offer a four-poster bed.

Sweet and savoury ingredients and pre-packaged produce are left in the fridge found in the shared lounge. You can prepare your self-service breakfast every morning.

Termini Underground on line B has direct links to the world-famous Coliseum. It is only 2 metro stops away."
22,Premuda18 Guest House,8.3,"Double Room
1 large double bed
Breakfast included
Free cancellation
Only 4 rooms left at this price on our site",€ 704,"Vaticano Prati, RomeShow on map3.1 km from centre","Offering city views, Premuda18 Guest House is an accommodation situated in Rome, 1.4 km from Lepanto Metro Station and 2.2 km from Castel Sant'Angelo. It is located 1.1 km from Vatican Museums and provides a lift. Free WiFi is available throughout the property and Ottaviano Metro Station is less than 1 km away.

At the bed and breakfast, all units come with a desk, a flat-screen TV, a private bathroom, bed linen and towels. Every unit comes with a kettle, while selected rooms are fitted with a fully equipped kitchen with a dishwasher, an oven and a microwave. The units at the bed and breakfast include air conditioning and a wardrobe.

An Italian breakfast is available daily at the bed and breakfast.

Popular points of interest near Premuda18 Guest House include St Peter's Square, The Vatican and St. Peter's Basilica. The nearest airport is Fiumicino Airport, 28 km from the accommodation."
23,Ale 160 Grey,7.9,"Luxury Apartment
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 929,RomeShow on map2.6 km from centre,"You're eligible for a Genius discount at Ale 160 Grey! To save at this property, all you have to do is sign in.
Offering inner courtyard views, Ale 160 Grey is an accommodation set in Rome, 1.7 km from Sapienza University of Rome and 1.7 km from Repubblica - Teatro dell'Opera Metro Station. Among the facilities at this property are a 24-hour front desk and a lift, along with free WiFi throughout the property. The apartment features family rooms.

There is a private bathroom with shower in some units, along with bathrobes, a hair dryer and free toiletries. At the apartment complex, certain units are equipped with a coffee machine and wine or champagne.

For those nights when you'd rather not dine out, you can choose to have groceries delivered.

Popular points of interest near the apartment include Rome Termini Train Station, Bologna Metro Station and Rome Termini Metro Station. The nearest airport is Rome Ciampino Airport, 15 km from Ale 160 Grey."
24,"Cardo Roma, Autograph Collection",,"Arc King Room
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site","€ 2,074","Ostiense, RomeShow on map6 km from centre","Situated in Rome, 3 km from EUR Fermi Metro Station, Cardo Roma, Autograph Collection features accommodation with a fitness centre, private parking, a garden and a restaurant. This 4-star hotel offers room service and a 24-hour front desk. Guests can have a drink at the snack bar.

The rooms in the hotel are equipped with a kettle. Complete with a private bathroom fitted with a shower and free toiletries, all rooms at Cardo Roma, Autograph Collection have a flat-screen TV and air conditioning, and some rooms are fitted with a seating area. Guest rooms will provide guests with a wardrobe and a coffee machine.

The daily breakfast offers buffet, American or gluten-free options.

There is an in-house bar and guests can also make use of the business area.

Basilica San Paolo Metro Station is 3.2 km from the accommodation, while PalaLottomatica Arena is 3.6 km from the property. The nearest airport is Rome Ciampino Airport, 18 km from Cardo Roma, Autograph Collection."
25,"Corte Trastevere Verde, Comfort&Business, 4 ospiti",,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,075","Gianicolense, RomeShow on map2.7 km from centre","Located within the Gianicolense district in Rome, Corte Trastevere Verde, Comfort&Business, 4 ospiti has air conditioning, a balcony, and quiet street views. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. The apartment has a picnic area and a fitness room.

The apartment with a terrace and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a bidet. Towels and bed linen are provided in the apartment. The property has an outdoor dining area.

There is a snack bar, and packed lunches are also available.

For guests with children, the apartment provides both an indoor and outdoor play area. If you would like to discover the area, cycling is possible in the surroundings.

Roma Trastevere Train Station is 400 metres from Corte Trastevere Verde, Comfort&Business, 4 ospiti, while Campo de' Fiori is 2.8 km away. The nearest airport is Fiumicino Airport, 21 km from the accommodation."
26,"Corte Trastevere Verde, Comfort&Business, 4 ospiti",,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,075","Gianicolense, RomeShow on map2.7 km from centre","Located within the Gianicolense district in Rome, Corte Trastevere Verde, Comfort&Business, 4 ospiti has air conditioning, a balcony, and quiet street views. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. The apartment has a picnic area and a fitness room.

The apartment with a terrace and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a bidet. Towels and bed linen are provided in the apartment. The property has an outdoor dining area.

There is a snack bar, and packed lunches are also available.

For guests with children, the apartment provides both an indoor and outdoor play area. If you would like to discover the area, cycling is possible in the surroundings.

Roma Trastevere Train Station is 400 metres from Corte Trastevere Verde, Comfort&Business, 4 ospiti, while Campo de' Fiori is 2.8 km away. The nearest airport is Fiumicino Airport, 21 km from the accommodation."
27,"Cardo Roma, Autograph Collection",,"Arc King Room
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site","€ 2,074","Ostiense, RomeShow on map6 km from centre","Situated in Rome, 3 km from EUR Fermi Metro Station, Cardo Roma, Autograph Collection features accommodation with a fitness centre, private parking, a garden and a restaurant. This 4-star hotel offers room service and a 24-hour front desk. Guests can have a drink at the snack bar.

The rooms in the hotel are equipped with a kettle. Complete with a private bathroom fitted with a shower and free toiletries, all rooms at Cardo Roma, Autograph Collection have a flat-screen TV and air conditioning, and some rooms are fitted with a seating area. Guest rooms will provide guests with a wardrobe and a coffee machine.

The daily breakfast offers buffet, American or gluten-free options.

There is an in-house bar and guests can also make use of the business area.

Basilica San Paolo Metro Station is 3.2 km from the accommodation, while PalaLottomatica Arena is 3.6 km from the property. The nearest airport is Rome Ciampino Airport, 18 km from Cardo Roma, Autograph Collection."
28,Sonder Piazza San Pietro,8.2,"Superior Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 37m²
2 beds (1 single, 1 sofa bed)
Only 1 left at this price on our site","€ 1,777","Vaticano Prati, RomeShow on map2.2 km from centre","You're eligible for a Genius discount at Sonder Piazza San Pietro! To save at this property, all you have to do is sign in.
Sonder Piazza San Pietro features accommodation within 2.1 km of the centre of Rome, with free WiFi, and a kitchen with a microwave, a toaster and a fridge. It is situated 700 metres from St. Peter's Basilica and provides a lift. Piazza Navona is 1.9 km away and Campo de' Fiori is 2 km from the aparthotel.

All units are fitted with air conditioning, a flat-screen TV with cable channels, a stovetop, a coffee machine, a a bath or shower, a hair dryer and a wardrobe. Units have a kettle and a private bathroom, while some rooms also boast a terrace. At the aparthotel, each unit includes bed linen and towels.

Popular points of interest near the aparthotel include Castel Sant'Angelo, St Peter's Square and The Vatican. The nearest airport is Rome Ciampino Airport, 17 km from Sonder Piazza San Pietro."
29,ElevenG,9.7,"Studio
Entire studio • 1 bathroom • 1 kitchen • 30m²
2 beds (1 single, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 936,"Villa Borghese Parioli, RomeShow on map2.2 km from centreMetro access","A recently renovated apartment in Rome and within less than 1 km of Lepanto Metro Station, ElevenG features a terrace, comfortable allergy-free rooms and free WiFi. There is a private entrance at the apartment for the convenience of those who stay. Private parking can be arranged at an extra charge.

At the apartment complex, every unit includes air conditioning, a seating area, a flat-screen TV with streaming services, a kitchen, a dining area, a safety deposit box and a private bathroom with a bidet, a hair dryer and free toiletries. A microwave, a toaster and fridge are also provided, as well as a coffee machine and a kettle. At the apartment complex, every unit is fitted with bed linen and towels.

Popular points of interest near the apartment include Piazza del Popolo, Ottaviano Metro Station and Villa Borghese. The nearest airport is Rome Ciampino Airport, 17 km from ElevenG."
