,hotel_name,price_week_before
365,Vincci Gala,"€ 2,224"
366,Aspasios Garden Apartments,"€ 2,019"
367,Lugaris Rambla Apartments,"€ 1,684"
368,Hotel Omnium,"€ 1,423"
369,Born Sunny Apartment (self check-in),"€ 1,212"
370,Hotel Constanza,"€ 1,200"
371,Hotel Ramblas Internacional,"€ 1,346"
372,BBarcelona Gaudí Flats,"€ 1,456"
373,"Kimpton Vividora Hotel, an IHG Hotel","€ 2,606"
374,limehome Barcelona Rector Triadó,"€ 1,743"
375,Fewdays Barcelona Apartments,"€ 2,056"
376,Enjoybcn Gaudi Apartments,"€ 2,038"
377,Enjoybcn Gaudi Apartments,"€ 2,038"
378,Quartprimera Apartments,"€ 2,521"
379,Hotel 54 Barceloneta,"€ 1,508"
380,Barcelona Apartment Aramunt,"€ 1,671"
381,Alguera Apartments Napols,"€ 1,540"
382,Room Mate Carla,"€ 1,495"
383,Ola Living Vidreria,"€ 1,960"
384,Putxet by gaiarooms,€ 797
385,The Corner Hotel,"€ 1,614"
386,Hotel Barcelona Condal Mar Affiliated by Meliá,"€ 1,414"
387,Apartamentos Laforja,€ 884
388,ICON Bcn,"€ 1,577"
389,Duquesa de Cardona 4* Sup,"€ 2,004"
390,AinB Sagrada Familia Apartments,"€ 1,163"
391,Sixtytwo Hotel,"€ 3,198"
392,Four Petals Barcelona Boutique Apartments,"€ 2,545"
393,BBarcelona Sagrada Familia Flats,"€ 1,660"
394,Duplex Sagrada Familia 2,"€ 1,698"
395,Casa Vaganto,"€ 1,517"
396,Enjoybcn Patio de Gracia,"€ 2,222"
397,Boutique Hotel H10 Catalunya Plaza,"€ 1,754"
398,"Hotel Bagués, a Small Luxury Hotel of the World","€ 2,191"
399,Barcelona Apartment Val,"€ 2,038"
400,Best House Best Place,"€ 1,680"
401,The MO GOTIC,€ 925
402,Hotel Sant Pau,€ 862
403,Cosmopolitan,"€ 1,091"
404,Boutique Hostemplo Sagrada Familia,"€ 1,485"
405,NH Barcelona Stadium,"€ 1,654"
406,"Casa Consell Bailen, Guest House","€ 1,270"
407,Gran Vía by The Streets,"€ 1,593"
408,Hostal Laia by gaiarooms,"€ 1,002"
409,Bed & Art Barcelona,€ 908
410,Zenit Borrell,"€ 1,130"
411,NH Sants Barcelona,"€ 1,804"
412,Acacia Suite,"€ 1,368"
413,Inside Barcelona Apartments Salva,"€ 1,475"
414,Sweet Inn - Sepulveda,"€ 1,905"
415,Praktik Vinoteca,"€ 1,250"
416,Casp Green House,€ 980
417,Hostal Sant Pau,€ 860
418,Hotel Pulitzer Barcelona,"€ 1,736"
419,amistat house,€ 756
420,Inside Barcelona Apartments Mercat,"€ 1,529"
421,Barcelona Princess,"€ 1,313"
422,Express by gaiarooms,"€ 1,023"
423,Au Jardin d'Armand,€ 840
424,Hostal Dragonflybcn,€ 700
425,Habitat Apartments Blanca,"€ 1,645"
426,Residència Erasmus Gracia,€ 945
427,Residència Erasmus Gracia,€ 945
428,Kabul Party Hostel Barcelona,€ 695
429,Hotel Acta Laumon,€ 818
430,ApartEasy - Gracia Apartments,"€ 1,567"
431,Cosmo Apartments Sants,"€ 1,343"
432,Bonanova Suite,"€ 1,351"
433,Uma Suites Passeig de Gracia 16,"€ 1,703"
434,Atenea Rekord Suites,"€ 1,143"
435,Catalonia Mikado,€ 890
436,Onix Rambla,"€ 1,223"
437,Paraiso Hostel,€ 830
438,Apartment Sants-Montjuic Rambla Badal by Interhome,"€ 1,428"
439,Ako Suites Hotel,"€ 1,495"
440,Parque güell,€ 496
441,H10 Port Vell 4* Sup,"€ 1,721"
442,Nordic Apartment II Sagrada Familia,"€ 1,098"
443,Hotel Sant Agustí,"€ 1,246"
444,Hostal River,€ 510
445,AC Hotel Sants by Marriott,"€ 1,492"
446,Sunotel Aston,€ 909
447,BacHome Terrace B&B,"€ 1,390"
448,Hostemplo Sagrada Familia,"€ 1,150"
449,Apartments Sixtyfour,"€ 4,453"
450,Mercer House Bòria BCN,"€ 1,598"
451,Expo Hotel Barcelona,"€ 1,653"
452,Expo Hotel Barcelona,"€ 1,653"
453,Catalonia Port,"€ 1,929"
454,ibis Styles Barcelona Centre,"€ 1,118"
455,Hostal Sol y K,"€ 1,503"
456,Sixties Ramblas,"€ 1,454"
457,Flateli Llúria,"€ 1,056"
