,hotel_name,price_week_before
291,Hotel Best Auto Hogar,"€ 1,074"
292,Chic & Basic Velvet,"€ 1,194"
293,Cosmopolitan Boutique Rambla,"€ 1,308"
294,Urbany Hostel BCN GO!,€ 889
295,Upper Diagonal,"€ 1,378"
296,The Mirror Barcelona - Adults Only,"€ 1,394"
297,Tibidabo Apartments,"€ 1,256"
298,Som Nit Triomf,"€ 1,241"
299,Apartments Sata Park Guell Area,"€ 1,346"
300,Hostal Bejar,€ 914
301,"Casa Consell Gran Via, Guest House","€ 1,346"
302,Rooms in the center of Barcelona,€ 546
303,Pensión Arosa,€ 552
304,Atlantis by Atbcn,"€ 1,378"
305,Aspasios Plaza Real Apartments,"€ 1,470"
306,NH Barcelona Entenza,"€ 1,137"
307,ibis Styles Barcelona City Bogatell,"€ 1,066"
308,Hotel Rec Barcelona - Adults Only,"€ 1,526"
309,Ola Living Vidreria,"€ 1,380"
310,Sunotel Club Central,"€ 1,420"
311,Alojamiento Diputacion,€ 546
312,BYPILLOW Ramblas,"€ 1,274"
313,Hotel Glòries,"€ 1,019"
314,ICON Bcn,"€ 1,665"
315,Sercotel Hotel Rosellon,"€ 1,580"
316,AC Hotel Sants by Marriott,"€ 1,492"
317,Citadines Ramblas Barcelona,"€ 1,726"
318,L'Olivera Casa Rural,€ 506
319,Hostal La Terrassa,€ 826
320,Hostal Barcelona,€ 772
321,May Ramblas Hotel,"€ 1,294"
322,Sixties Ramblas,"€ 1,454"
323,Hostal Europa,€ 635
324,Central and Basic Solarium HOSTEL,€ 844
325,Silken Ramblas,"€ 1,517"
326,Hotel Àmbit Barcelona,"€ 1,571"
327,AinB Sagrada Familia Apartments,"€ 1,426"
328,Apart-Suites Hostemplo,"€ 1,504"
329,Hostemplo Sagrada Familia,"€ 1,346"
330,Ibis Barcelona Meridiana,€ 837
331,Casa Lirio,"€ 1,377"
332,Mosaic Barcelona by Ona,"€ 1,544"
333,Melia Barcelona Sky 4* Sup,"€ 1,607"
334,"InterContinental Barcelona, an IHG Hotel","€ 2,378"
335,Ola Living MACBA,"€ 1,407"
336,Jardinets De Gràcia by The 5ve Soul,"€ 1,530"
337,Happy People Gaudi Sant Pau Apartments,"€ 1,257"
338,H10 Marina Barcelona,"€ 1,523"
339,Sofitel Barcelona Skipper,"€ 3,023"
340,Hotel Nuevo Triunfo,"€ 1,126"
341,Urgel habitaciones,€ 470
342,Chi,"€ 1,570"
343,Som Nit Port Vell,"€ 1,393"
344,Urbany Hostel Barcelona,€ 920
